subset,estimator,n_valid,pct_active,secs,planarity_norm_med,linearity_norm_med,S1_all,C_all,K_all,S1_conf,C_conf,vs_control_deg,coherence_deg,coherence_null_deg,stability_deg,n_stability
all,geometry_control,4026,82.46620237607537,0.09076991699112114,0.32770880785989676,0.46763424599873693,0.608830873229308,1.470060007535428,1.5140565523196345,0.7799005607721567,2.6009772819785564,,17.00096443317326,47.35635942093892,15.036885381729109,3524
all,shape_pca,4026,82.46620237607537,0.0880211670009885,0.33005712899189044,0.48461729146974974,0.612082885253715,1.5651118590273978,1.2082954533273655,0.761868237333664,2.8627865247621496,1.9868329902952153,15.74819170445861,46.558075063739444,15.541366103560058,3524
all,structure_tensor,4026,82.46620237607537,0.06444816700241063,0.8154726694112855,0.5748766045078111,0.39745389121601477,0.476988695992804,0.3015923057314474,0.40414684053802996,0.4963599463516635,74.5777149006841,54.421928129987876,58.76375045894858,51.18510547822214,3524
all,edge_tensor,4026,82.46620237607537,0.06588175000797492,0.37462948717388334,0.39863279727908174,0.5963459632042643,1.2859205759071903,2.4676217135432776,0.7757859094641644,2.679980113549399,12.559754182675555,21.749895590347414,48.170079537178516,22.123659394709584,3524
all,lsq_gradient,4026,82.46620237607537,0.10582374999648891,0.2495202249191863,9.1063690931453e-17,0.555564899277694,1.0214029812461243,4.103176363390045,0.6602790512748132,1.5239790990902746,25.834572713531173,42.177227650634244,50.744464549704084,36.52888251492276,3524
Boundary,geometry_control,1926,86.25167935512764,0.05041258399432991,0.22005422177455955,0.30379661835888006,0.534869985300297,1.653441277542996,0.30690056868044197,0.6983358104022466,2.4767701776607325,,41.35189710934493,49.969492505889235,55.95116082041764,1740
Boundary,shape_pca,1926,86.25167935512764,0.050065125004039146,0.22673750996788505,0.31453819303812136,0.5755189043559537,1.8543030807515462,0.41409610352090803,0.7797904503785407,2.5587300989560853,8.2703983991771,35.72124389639634,47.038311608324065,54.28264517347668,1740
Boundary,structure_tensor,1926,86.25167935512764,0.037958125001750886,0.8024856568848002,0.46012804328784324,0.40549007320042296,0.3433737540301943,4.308053971740314,0.3896958858710139,0.39159388588428484,66.22150766960033,57.241737889440905,59.77267056783835,55.30923206734671,1740
Boundary,edge_tensor,1926,86.25167935512764,0.039741000000503846,0.25938525602409057,0.37757435865765593,0.5394417746498207,1.354512903678799,0.6192878829719344,0.6956184299475137,2.094957746395581,29.217262922066006,47.631854351666135,50.56372146346181,46.282241565150755,1740
Boundary,lsq_gradient,1926,86.25167935512764,0.06498958400334232,0.21991728369580082,1.1750608765431586e-16,0.46861406344700124,0.7928436183771727,0.9373933631867801,0.5655819256670129,1.457983034553573,45.10394848349577,53.62301386393257,56.53871165262016,56.11714455262501,1740
Boundary West,geometry_control,827,82.12512413108243,0.012213416994200088,0.2318273196643601,0.388591295752097,0.4326487530687346,0.9949400179708913,0.06437639140680863,0.5635206096835974,1.0390526133070945,,55.800394801150155,56.858798777270366,56.23838633728241,529
Boundary West,shape_pca,827,82.12512413108243,0.012178167002275586,0.2422250894968063,0.43406202000191296,0.48469355901406086,1.2193337130231843,0.27676308884126677,0.6540229846556566,1.6939656381268533,5.166598455257669,50.335743067551235,55.55398898202246,54.91844230870446,529
Boundary West,structure_tensor,827,82.12512413108243,0.009314167007687502,0.9349349601026853,0.3821706731835488,0.5003761686351174,0.9770964341142147,0.9447320734416541,0.49871651488263885,1.0406705380624754,69.71061235971544,56.072328995794436,55.8940125059857,56.95036820389972,529
Boundary West,edge_tensor,827,82.12512413108243,0.009486916998866946,0.26786507871208876,0.4339021905006443,0.5158425500961705,1.3470700229342125,0.4042073962909033,0.7089338054950634,2.146613379046561,33.8015606283683,49.336521171185595,52.72662435916512,59.42964890084966,529
Boundary West,lsq_gradient,827,82.12512413108243,0.015368459004093893,0.2815748772084996,1.0047135257528532e-16,0.4803508991275813,0.6873903111260321,3.8817745649786017,0.6325443388139648,1.6970157914931747,42.41098806979763,57.41693428239243,56.879511216208556,58.57216219951802,529
Tom West,geometry_control,507,79.59183673469387,0.008049999989452772,0.3792638214596952,0.6031813218493495,0.9893513817845088,5.839267321722237,4.884501111168607,0.996500057103793,7.785539003515013,,4.501071872617003,7.864014804721956,2.400316341055789,442
Tom West,shape_pca,507,79.59183673469387,0.00818591599818319,0.37378405599627285,0.6106883979027983,0.989100135708346,5.8078739235924095,4.916865442829069,0.996747396337323,7.7368082220204375,0.28087810362752225,4.646432099031362,7.956514376071136,2.488218267847538,442
Tom West,structure_tensor,507,79.59183673469387,0.006324542002403177,0.9529134352509206,0.6097463716386979,0.5915006228275823,1.9303966933929597,0.45757482283369905,0.6279773994671858,1.633235793554741,82.33173842198813,46.85422370684793,43.7714852742083,35.35702426715616,442
Tom West,edge_tensor,507,79.59183673469387,0.006440207987907343,0.5247197548559409,0.42662786279246584,0.9645052469527016,4.353768289059845,6.003256937882295,0.9764356773559189,4.700469463229334,4.267148060594213,8.09910709682886,10.796671080872985,6.672481310877966,442
Tom West,lsq_gradient,507,79.59183673469387,0.009996292006690055,0.2743267953440528,7.66469715546991e-17,0.8431168852321221,2.486325697084176,10.731310892930058,0.9119749823507126,4.163372062830994,9.198522723327974,16.83543775863054,17.925501900857466,16.43323410490312,442
Jason Main,geometry_control,0,0.0,0.0009627079998608679,,,1e-12,0.0,inf,1e-12,0.0,,,,,0
Jason Main,shape_pca,0,0.0,0.0008933329954743385,,,1e-12,0.0,inf,1e-12,0.0,,,,,0
Jason Main,structure_tensor,0,0.0,0.0007965409895405173,,,1e-12,0.0,inf,1e-12,0.0,,,,,0
Jason Main,edge_tensor,0,0.0,0.0007944999961182475,,,1e-12,0.0,inf,1e-12,0.0,,,,,0
Jason Main,lsq_gradient,0,0.0,0.0013197919906815514,,,1e-12,0.0,inf,1e-12,0.0,,,,,0
Jason South,geometry_control,139,60.43478260869565,0.0015473749954253435,0.3721276077540422,0.3378124445301879,0.7778365134380623,3.926857045467994,0.509014451466156,0.9942511508169954,7.92998908733764,,12.355659789375846,11.451345360837283,54.60295259094962,67
Jason South,shape_pca,139,60.43478260869565,0.0013763749884674326,0.3274844312381656,0.40914316264272965,0.7763442906178142,3.8416391937537613,0.5246139782953144,0.9096344521915735,5.470328364846397,3.1767206585068126,12.697944960732885,12.441163829075556,54.82933303852057,67
Jason South,structure_tensor,139,60.43478260869565,0.0011562499857973307,1.0,0.2520185916486877,0.5556269672479747,1.4174653313687213,0.7015020470771102,0.5546818971826396,1.415202061820289,48.706090382958905,50.81414997900568,48.121989976170376,58.59628998670567,67
Jason South,edge_tensor,139,60.43478260869565,0.0011803749948740005,0.21190364058528066,0.597080859137679,0.5941198341577375,2.3872702152030625,0.28223226725378187,0.6732779185721742,3.5062727758173597,78.0260102685716,37.39887462415831,31.201807744928416,46.66184404583221,67
Jason South,lsq_gradient,139,60.43478260869565,0.0018967500072903931,0.2189602343325494,1.1899025931945935e-16,0.5285537982443612,1.224801220966244,0.7229634761502247,0.5445437901344701,0.9769511562075788,64.33562551222636,54.193852091604086,52.29051708658739,62.49541797982164,67
