radius,min_n,smooth,n_valid,contact_err,stability,vs_reference,r2_med,cond_med
180.0,225,0x0.0,4184,27.180291329043737,33.083318020871715,24.370210014150615,0.204355366681309,0.22372485995339683
180.0,225,1x0.5,4184,28.370454488663206,34.515536583381596,25.686418652700922,0.22337163432696477,0.22372485995339683
120.0,100,0x0.0,4026,29.181736138875774,36.497326900381395,25.867406961064805,0.2495991200798594,0.20045199688843518
120.0,100,1x0.5,4026,30.32819174976141,36.51332110538338,28.112482811914315,0.2889093809004312,0.20045199688843518
180.0,225,2x0.5,4184,30.551587244673346,37.528256481440835,29.23120897341756,0.2566949591883203,0.22372485995339683
90.0,56,0x0.0,3824,30.920409438432863,40.65138728034117,24.544116925234924,0.29614002496429254,0.1660281709871465
90.0,56,1x0.5,3824,32.29690766927945,41.56773843171341,27.649488690073106,0.35139193485297915,0.1660281709871465
120.0,100,2x0.5,4026,32.59947516928558,39.72545203985227,31.792701497316465,0.33782223940738143,0.20045199688843518
60.0,25,0x0.0,3139,32.886286289181,51.889581426744584,24.034233783166854,0.4013205426487795,0.13981221922710443
60.0,25,1x0.5,3139,34.22583325097429,52.98195089393236,27.430107150228466,0.44593049827617526,0.13981221922710443
90.0,56,2x0.5,3824,34.768387501355605,42.34581598846789,31.552987764292617,0.42177535478513917,0.1660281709871465
60.0,25,2x0.5,3139,36.36592494420278,54.84550830187975,32.524310759844404,0.5152322120126747,0.13981221922710443
60.0,25,3x0.7,3139,54.587248704658045,54.1546318778105,54.79123635797441,0.7801472092331121,0.13981221922710443
120.0,100,3x0.7,4026,54.887674052636626,54.47010457908178,56.9072897839613,0.6948276406686776,0.20045199688843518
90.0,56,3x0.7,3824,55.791595243151605,55.62277266447978,51.587903252879656,0.714644981402424,0.1660281709871465
180.0,225,3x0.7,4184,56.172918870215,56.828580882477546,61.73600543404795,0.6163257184609917,0.22372485995339683
60.0,25,5x0.7,3139,67.44287842927845,56.284291699704106,67.1079316401762,0.8516025607695201,0.13981221922710443
90.0,56,5x0.7,3824,69.22140513701461,57.63303542523124,64.50234762787647,0.8591582563090837,0.1660281709871465
120.0,100,5x0.7,4026,70.26804987445082,52.797248593725264,71.86292125634166,0.8628516814726459,0.20045199688843518
180.0,225,5x0.7,4184,72.55515226495359,50.60729691863564,79.15300902150263,0.9155015418804398,0.22372485995339683
