subset,method,role,n_valid,pct_active,secs,planarity_norm_med,linearity_norm_med,S1_all,C_all,K_all,S1_conf,C_conf,vs_reference_deg,coherence_deg,coherence_null_deg,stability_deg,n_stability
all,shape_pca,method,4026,82.46620237607537,0.08631999999852269,0.33005712899189044,0.48461729146974974,0.612082885253715,1.5651118590273978,1.2082954533273655,0.761868237333664,2.8627865247621496,1.9868329902952153,15.74819170445861,46.558075063739444,15.541366103560058,3524
all,lsq_gradient,method,4026,82.46620237607537,0.10970333299701451,0.2495202249191863,9.1063690931453e-17,0.555564899277694,1.0214029812461243,4.103176363390045,0.6602790512748132,1.5239790990902746,25.834572713531173,42.177227650634244,50.744464549704084,36.52888251492276,3524
all,geometry_control,reference,4026,82.46620237607537,0.0839746669989836,0.32770880785989676,0.46763424599873693,0.608830873229308,1.470060007535428,1.5140565523196345,0.7799005607721567,2.6009772819785564,,17.00096443317326,47.35635942093892,15.036885381729109,3524
Boundary,shape_pca,method,1926,86.25167935512764,0.05077595799957635,0.22673750996788505,0.31453819303812136,0.5755189043559537,1.8543030807515462,0.41409610352090803,0.7797904503785407,2.5587300989560853,8.2703983991771,35.72124389639634,47.038311608324065,54.28264517347668,1740
Boundary,lsq_gradient,method,1926,86.25167935512764,0.0640389169966511,0.21991728369580082,1.1750608765431586e-16,0.46861406344700124,0.7928436183771727,0.9373933631867801,0.5655819256670129,1.457983034553573,45.10394848349577,53.62301386393257,56.53871165262016,56.11714455262501,1740
Boundary,geometry_control,reference,1926,86.25167935512764,0.050451541999791516,0.22005422177455955,0.30379661835888006,0.534869985300297,1.653441277542996,0.30690056868044197,0.6983358104022466,2.4767701776607325,,41.35189710934493,49.969492505889235,55.95116082041764,1740
Boundary West,shape_pca,method,827,82.12512413108243,0.022547832999407547,0.2422250894968063,0.43406202000191296,0.48469355901406086,1.2193337130231843,0.27676308884126677,0.6540229846556566,1.6939656381268533,5.166598455257669,50.335743067551235,55.55398898202246,54.91844230870446,529
Boundary West,lsq_gradient,method,827,82.12512413108243,0.015763833998789778,0.2815748772084996,1.0047135257528532e-16,0.4803508991275813,0.6873903111260321,3.8817745649786017,0.6325443388139648,1.6970157914931747,42.41098806979763,57.41693428239243,56.879511216208556,58.57216219951802,529
Boundary West,geometry_control,reference,827,82.12512413108243,0.01200237499870127,0.2318273196643601,0.388591295752097,0.4326487530687346,0.9949400179708913,0.06437639140680863,0.5635206096835974,1.0390526133070945,,55.800394801150155,56.858798777270366,56.23838633728241,529
Tom West,shape_pca,method,507,79.59183673469387,0.008188291001715697,0.37378405599627285,0.6106883979027983,0.989100135708346,5.8078739235924095,4.916865442829069,0.996747396337323,7.7368082220204375,0.28087810362752225,4.646432099031362,7.956514376071136,2.488218267847538,442
Tom West,lsq_gradient,method,507,79.59183673469387,0.009900666002067737,0.2743267953440528,7.66469715546991e-17,0.8431168852321221,2.486325697084176,10.731310892930058,0.9119749823507126,4.163372062830994,9.198522723327974,16.83543775863054,17.925501900857466,16.43323410490312,442
Tom West,geometry_control,reference,507,79.59183673469387,0.007900791999418288,0.3792638214596952,0.6031813218493495,0.9893513817845088,5.839267321722237,4.884501111168607,0.996500057103793,7.785539003515013,,4.501071872617003,7.864014804721956,2.400316341055789,442
Jason South,shape_pca,method,139,60.43478260869565,0.001452290998713579,0.3274844312381656,0.40914316264272965,0.7763442906178142,3.8416391937537613,0.5246139782953144,0.9096344521915735,5.470328364846397,3.1767206585068126,12.697944960732885,12.441163829075556,54.82933303852057,67
Jason South,lsq_gradient,method,139,60.43478260869565,0.0019488340003590565,0.2189602343325494,1.1899025931945935e-16,0.5285537982443612,1.224801220966244,0.7229634761502247,0.5445437901344701,0.9769511562075788,64.33562551222636,54.193852091604086,52.29051708658739,62.49541797982164,67
Jason South,geometry_control,reference,139,60.43478260869565,0.0014067080010136124,0.3721276077540422,0.3378124445301879,0.7778365134380623,3.926857045467994,0.509014451466156,0.9942511508169954,7.92998908733764,,12.355659789375846,11.451345360837283,54.60295259094962,67
